Date;Time;Route;Registration;Aboard;Aboard Passangers;Aboard Crew;Fatalities;Fatalities Passangers;Fatalities Crew;Location,Operator,AC Type
05/13/1952;;Sao Paulo - Bauru;PP-SPM;22;19;3;5;3;2;Sao Paulo, Brazil,VASP,Douglas DC-3
05/24/1952;;;PP-LDE;6;0;6;6;0;6;Near Manaus, Brazil,Loide Aéreo Nacional,Curtiss C-46A
05/26/1952;08:45;Tripoli - Kano;G-ALDN;18;10;8;1;0;1;Near Atar, Mauritania,British Overseas Airways,Handley Page HP-81 Hermes IV
06/13/1952;11:29;Radio surveillance mission;79001;8;5;3;8;5;3;Baltic Sea,Swedish Air Force,Douglas DC-3
06/14/1952;09:49;Croydon - Le Mans;G-AHFT;8;7;1;6;5;1;Near Brighton, East Sussex, England,Morton Air Services,Airspeed AS-65 Consul
06/24/1952;;;;11;NULL;NULL;11;NULL;NULL;Lakenheath AFB, England,Military - U.S. Air Force,Boeing B-50 Superfortress
06/25/1952;;Scrampton RAF Station, England;VP261;13;11;2;11;9;2;Off Northumberland, North Sea,Military - Royal Air Force,Avro Shackleton MR-1
07/18/1952;00:00;Corpus Christi - Norfork;;46;40;6;41;37;4;Whiting Field, near Milton, Florida,Military - Navy,Fairchild packet (C119 flying boxcar)
07/27/1952;11:46;Rio de Janeiro - Buenos Aires;N1030V;27;19;8;1;1;0;Off Rio de Janeiro, Brazil,Pan American World Airways,Boeing 377 Stratocruiser
08/12/1952;;Rio Verde - Goiania;PP-ANH;24;20;4;24;20;4;Palmeira de Goias, Brazil,Transportes Areos Nacionales,Douglas DC-3
08/21/1952;01:00;Blackbushe - Malta - Khartoum;G-ALDF;57;51;6;7;1;6;Off Trapani, Italy,Airwork,Handley Page HP-81 Hermes 4A
08/26/1952;07:00;Khewra - Peshawar;G783;18;NULL;NULL;18;NULL;NULL;Near Khewra, West Pakistan,Military - Pakistan Air Force,Bristol 170 Freighter
08/29/1952;21:05;Juba - Wadi Halfa;ZS-DFW;4;0;4;2;0;2;Kosti, Sudan,Phoenix Airlines,Douglas DC-2-115B
09/06/1952;15:40;;WG235;1;0;1;1;0;1;Near Farnsborough, England,Private - de Havilland Aircraft,de Havilland 110
09/10/1952;;;;46;NULL;NULL;46;NULL;NULL;San Blas, Panama,SAM Colombia,Curtiss C-46
09/15/1952;;;VT-CGB;3;0;3;3;0;3;Wadi Halfa, Sudan,Kalinga Airlines,Douglas C-47A
10/05/1952;16:02;Minsk - Leningrad;L1328;21;19;5;21;19;5;Skvoritsy, Russia,Aeroflot,Ilyushin IL-12
10/08/1952;;;VP286;14;2;12;14;2;12;Off Tarbat Ness, Scotland,Military - Royal Air Force,Avro Shackleton MR-1
10/14/1952;;Sao Paulo - Porto Alegre;PP-AXJ;28;NULL;NULL;14;NULL;NULL;San Fransisco do Paula, Brazil,Aero Brasil,Douglas DC-3
10/16/1952;;;44-77538;25;21;4;25;21;4;Off Kangnung, South Korea,Military - U.S. Air Force,Curtiss-Wright C-46D-CU
10/29/1952;08:30;;52-2711;16;NULL;NULL;16;NULL;NULL;Near Flagstaff, Arizona,Military - U.S. Air Force,Boeing KC-97G Stratofreighter
11/06/1952;;Fort Lamy - Beirut;F-BFVO;6;1;5;5;1;4;Lake Chad, Chad,Union Aeromaritime de Transport,Douglas C-54B-1-DC
11/07/1952;03:00;Elmendorf AFB - Big Delta;51-2560A;19;14;5;19;14;5;Near Summit, Alaska,Military - U.S. Air Force,Fairchild C-119C
11/14/1952;14:45;;51-2551A;44;37;7;44;37;7;Near Seoul, South Korea,Military - U.S. Air Force,Fairchild C-119C
11/15/1952;;Elemndorf AFB - Kodiak NAS;51-2570;20;15;5;20;15;5;Near Anchorage, Alaska,Military - U.S. Air Force,Fairchild C-119C
11/17/1952;;Great Falls - Denver, Colorado;;16;NULL;NULL;9;NULL;NULL;Shepard, Montana,Military - U.S. Air Force,Fairchild C-119C-23-FA Flying Boxcar
11/22/1952;20:15;;51-107A;52;41;11;52;41;11;Mount Gannett, Alaska,Military - U.S. Air Force,Douglas C-124A Globemaster
11/28/1952;00:50;;;38;31;7;37;30;7;Near Tacoma, Washington,Military - U.S. Air Force,Douglas C-54G (DC-4)
12/06/1952;;Sofia - Varna;;18;NULL;NULL;18;NULL;NULL;Near Sofia, Bugaria,TABSO,Lisunov Li-2
12/06/1952;04:40;Madrid - Azores - Bermuda - Havana;CU-T397;41;33;8;37;30;7;Off Bermuda-Kindley Field, Bermuda,Cubana de Aviacion,Douglas DC-4
12/20/1952;06:30;;50-100;115;105;10;87;82;5;Moses Lake, Washington,Military - U.S. Air Force,Douglas C-124A Globemaster
12/21/1952;;;YV-C-ARC;3;0;3;3;0;3;Off Miami, Florida,Rutas Aéreas Nacionales SA,Curtiss C-46D
12/22/1952;;;;NULL;NULL;NULL;9;NULL;NULL;Damascus, Syria,Syrian Air,Douglas DC-3
12/25/1952;;;YV-C-AVX;5;NULL;NULL;3;NULL;NULL;Off Caracas, Venezuela,Avensa,Douglas DC-3
12/25/1952;;Abadan - Tehran;EP-ACJ;29;25;4;27;23;4;Tehran, Iran,Iran Air,Douglas DC-3
12/30/1952;;;PI-C38;10;7;3;2;0;2;Chinmen Island, Taiwan,Philippine Air Lines,Douglas DC-3
01/05/1953;21:39;Northolt - Belfast;G-AJDL;35;31;4;27;24;3;Belfast, Northern Ireland,British European Airways,Vickers Viking 610-1B
01/07/1953;20:55;Seattle - Cheyenne - Fort Jackson;N86574;7;3;4;7;3;4;Issaquah, Washington,Flying Tiger Line,Douglas C-54B-10-DO
01/07/1953;04:12;Boeing Field - Cheyenne;N1648M;40;37;3;40;37;3;Fish Haven, Idaho,Associated Air Transport,Curtiss C-46
01/15/1953;04:48;;VX562 / TX270;26;16;10;26;16;10;25 nm off Agrigento, Italy,Military -Royal Air Force,Vickers Valetta Mk1 / Avero Lancaster
01/26/1953;11:44;Cagliari - Rome;I-LAIL;19;15;4;19;15;4;Sinnai, Sardinia, Italy,Linee Aeree Italiane,Douglas DC-3
02/02/1953;05:30;Lajes, Azores - Gander;G-AHFA;39;33;6;39;33;6;Off Newfoundland, Canada,Lancashire Aircraft Corporation (Skyways),Avro 685 York 1
02/03/1953;;;F-OAFR;18;15;3;18;15;3;Lai Chau, Vietnam,Air Outremer,Douglas C-47B-15-DK
02/07/1953;10:28;Abidjan - Bordeaux;F-BFGR;19;13;6;9;3;6;Bordeaux, France,UTA,Douglas C-54A-5-DC
02/09/1953;19:00;Al Arish - Cairo;1001;40;35;5;29;24;5;Cairo, Egypt,Military - Egyptian Air Force,Curtiss-Wright C-46
02/14/1953;17:10;Miami - Orlando - New Orleans;N90893;46;41;5;46;41;5;Off Mobile, Alabama,National Airlines,Douglas DC-6
03/03/1953;03:35;Karachi - Rangoon;CF-CUN;11;6;5;11;6;5;Karachi, Pakistan,Canadian Pacific Air Lines,de Havilland DH106 Comet 1A
03/04/1953;01:50;New York, NY - Winsor Locks, CT;N4717N;2;0;2;2;0;2;Windsor Locks, Connecticut,Slick Airways,Curtiss C-46F
03/14/1953;;Delhi - Dacca;AP-AEG;16;11;5;16;11;5;Kalasahar, India,Orient Airways,Convair CV-240-7
03/17/1953;;Hue - Da Nang;F-BEFG;8;NULL;NULL;8;NULL;NULL;Off Da Nang, Vietnam,Aigle Azur,Douglas DC-3
03/18/1953;04:10;Lajes - Saint John’s - Rapid City;51-13721A;23;18;5;23;18;5;Random Island, Newfoundland,Military - U.S. Air Force,Convair RB-36H
03/20/1953;18:38;Roswell - Oakland - Guam;N88942;35;30;5;35;30;5;Alvarado, California,Transocean Air Lines,Douglas DC-4  (C-54-10-DO)
03/27/1953;;;PP-SLG;14;12;2;14;12;2;Itapebi, Brazil,Transportes Aéreos Salvador,de Havilland DH-114 Heron 1B
03/29/1953;;Nairobi - Dar-es-Salaam;VP-YEY;13;8;5;13;8;5;Mtara, Tanganyika,Central African Airways,Vickers 616 Viking 1B
04/10/1953;;;;NULL;NULL;NULL;26;NULL;NULL;Near Anchieta Island, Brazil,REAL,Doublas Dc-3
04/10/1953;;Kingston - George Town;VP-JBC;13;10;3;13;10;3;Off Kingston, Jamaica,Caribbean International Airways,Lockheed 18-56 LodeStar
04/10/1953;;Miandrivazo - Antananarivo;F-BALE;15;12;3;4;1;3;Miandivazo, Madagascar,Air France,Junkers JU-5/-3m
04/14/1953;02:22;Spokane - Ellenburgh;N65743;25;22;3;7;5;2;Selleck, Washington,Miami Airlines,Douglas DC-3 (C-47-DL)
04/14/1953;;Guwahati - Calcutta;VT-AUJ;3;0;3;3;0;3;Near Guwahati, India,Airways,Douglas C-47A
04/16/1953;;Hanoi - Na San;F-BESS;30;27;3;30;27;3;NW of Hanoi, Vietnam,Aigle Azur,Douglas DC-3
04/20/1953;23:08;Los Angeles - San Francisco - Oakland;N91303;10;5;5;8;4;4;San Francisco Bay, California,Western Airlines,Douglas DC-6B
05/02/1953;16:35;Calcutta - Delhi;G-ALYV;43;37;6;43;37;6;Near Jalalogori, West Bengal, India,British Overseas Airways,de Havilland DH106 Comet 1
05/07/1953;;Training;WG258;10;0;10;10;0;10;Off Hartland Point, England,Military - Royal Air Force,Vickers Valetta T-3
05/09/1953;01:28;Delh - Ahmedabad - Bombay;VT-AUD;18;13;5;18;13;5;New Delhi, India,Air India,Douglas DC-3
05/11/1953;;Sandpit - Prince Rupert;CF-CRV;19;16;3;2;1;1;Prince Rupert, BC, Canada,Canadian Pacific Air Lines,Consolidated PBY-5A Catalina
05/17/1953;14:15;Dallas - Shreveport;N28345;20;17;3;19;16;3;Near Marshall, Texas,Delta Air Lines,Douglas DC-3
05/24/1953;04:18;Teterboro - Saint Louis;N53596;7;2;5;6;1;5;St. Louis, Missouri,Meteor Air,Douglas DC-3
05/25/1953;15:30;Amsterdam - Paris;PH-TEI;34;28;6;0;0;0;Amsterdam, Netherlands,KLM Royal Dutch Airlines,Convair CV-240-4
05/27/1953;03:50;Krasnoyarsk - Novosibirsk;CCCP-L4534;20;16;11;20;16;11;Goose Wade, Russia,Aeroflot,Li-2 / Li-2T
06/14/1953;16:35;Krasnodar - Tbilisi;CCCP-L1375;18;12;6;18;12;6;Near  Zugdidi, Georgia,Aeroflot,Ilyushin IL-2
06/15/1953;;Copiapó - Santiago;CC-CLD-0100;7;5;2;7;5;2;Near Reo Copiapo, Chile,LAN Chile,Lockheed 18 Loadstar
06/15/1953;;Palmar Sur - San Isidoro;TI-1002;17;14;3;9;6;3;San Ramon Mtns., Costa Rica,LACSA,Douglas DC-3
06/16/1953;;Vientiane - Saigon;F-BEST;34;31;3;34;31;3;Mount Phou-Lassy, French Indo-China,Aigle Azur,Douglas DC-3
06/17/1953;22:00;London - Bueno Aires;PP-PDA;17;10;7;17;10;7;Sao Paulo, Brazil,Panair do Brasil,Lockheed 049-46-21 Constellation
06/18/1953;16:34;Tachikawa AB - Kimpo AB;51-137A;129;122;7;129;122;7;Tachikawa AFB, Tokyo, Japan,Military - U.S. Air Force,Douglas C-124A Globemaster II
07/12/1953;08:41;Wake Island - Honolulu - Oakland;N90806;58;50;8;58;50;8;Pacific Ocean, 325 miles east of Wake Island,Transocean Air Lines,Douglas DC-6A
07/17/1953;23:15;Whitting NAS - Norfolk NB;131663;46;40;6;44;39;5;Near Milton, Florida,Military - U.S. Navy,Fairchild R4Q-2
07/27/1953;12:30;;;21;15;6;21;15;6;Near Kanggye, North Korea,Aeroflot,Ilyushin IL-12
08/03/1953;02:28;Rome - Beirut;F-BAZS;42;34;8;4;4;0;Off Fethiye Point, Turkey,Air France,Lockheed L- 749A Constellation
08/03/1953;22:37;Karachi - Jeddah;AP-AAD;25;21;4;1;1;0;Sharjah, United Arab Emirates,Orient Airways,Douglas DC-3
08/05/1953;; Travis - Lakenheath;52-1369;23;0;23;19;0;19;Off Irish coast,Military - U.S. Air Force, Convair B-36
08/18/1953;;;XA-GOT;2;0;2;2;0;2;Near San Diego, California,Aerovias Contreras,Curtiss C-46A
09/01/1953;23:30;Paris - Nice - Beirut - Baghdad - Karachi - Calcutta;F-BAZZ;42;33;9;42;33;9;Near Barcelonnette, France,Air France,Lockheed 749A Constellation
09/01/1953;18:42;Fort Ord - McChord;N19941;21;19;2;21;19;2;Vail, Washington,Regina Cargo Airlines,Douglas DC-3
09/08/1953;13:16;San Pedro - San Andres;XH-TAR;3;0;3;3;0;3;San Andres, Honduras,TACA,Douglas C-47A
09/14/1953;;Campeche - Mérida;XA-GIC;2;0;2;1;0;1;Chablekal, Mexico,Transportes Aéreos Mexicanos,Douglas C-47A
09/16/1953;08:34;Boston - Hartford - Albany - Chicago;N94255;28;25;3;28;25;3;Albany, New York,American Airlines,Convair CV-240-0
09/25/1953;10:10;Ankara - Van;TC-EGE;21;16;5;5;1;4;Ankara, Turkey,Devlet Hava Yollari,Douglas DC-3
09/28/1953;16:18;Philadelphia - Louisville;N66534;41;38;3;25;22;3;Louisville, Kentucky,Resort Airlines,Curtiss C-46F-1-CU
10/14/1953;14:54;Salzburg - Frankfurt - Brussels;OO-AWQ;44;40;4;44;40;4;Frankfurt, Germany,Sabena,Convair CV-240-12
10/17/1953;;;F-VNAE;7;0;7;2;0;2;Lai Chau, Vietnam,Compagnie Sila,Douglas C-47B
10/19/1953;00:56;New York City - San Juan;N119A;27;22;5;2;2;0;New York City, New York,Eastern Air Lines,Lockheed 749A Constellation
10/19/1953;07:10;Monterrey - Falcon Dam;XA-GOT;21;18;3;21;18;3;Near Monterrey, Mexico,Aerovias Contreras,Douglas C-46A-CU ( DC-3)
10/27/1953;11:18;Magadan - Okhotsk - Nikolayevsk-on-Amur - Khabarovsk;L1765;32;27;5;22;17;5;Near Magadan, Russia,Aeroflot,Ilyushin IL-12
10/29/1953;08:44;Sydney - Honolulu - San Francisco;VH-BPE;19;11;8;19;11;8;Near Half Moon Bay, California,British Commonwealth Pacific Airlines,Douglas DC-6
10/31/1953;00:30;Rostov-on-Don - Kharkiv - Moscow;L4732;16;11;5;15;10;5;Kharkov. Ukraine, Russia,Aeroflot,Li-2
11/03/1953;;Camiri - Sucre;CP-600;28;25;3;28;25;3;Tarabuco, Bolivia,Lloyd Aereo Boliviano,Douglas DC-3
11/11/1953;17:30;Training;WL746;10;0;10;10;0;10;Off Argyll, Scotland,Military - Royal Air Force,Avro Shackleton MR-2
12/04/1953;17:00;Bilbao - Madrid;EC-AEG;33;28;5;23;22;1;Near Guaderrama, Spain,Aviaco,Bristol 170 Freighter 21
12/12/1953;03:25;New Delhi - Nagpur - Madras;VT-CHF;14;10;4;13;10;3;Nagpur, India,Indian Airlines,Douglas DC-3
12/15/1953;;Brownsville - Guatemala City;TG-AQA;2;0;2;2;0;2;"	Tecpan Mt., Guatemala,Aviateca,Curtiss C-46D"
12/15/1953;;Cairo - Luxor;SU-AFK;6;5;1;6;5;1;Near Cairo, Egypt,Misair,VC-Viking
12/17/1953;06:50;;44-87741;16;6;10;11;5;6;Guam, Mariana Islands,Military - U.S. Air Force,Boeing B-29
12/19/1953;18:55;Brussels - Zurich;OO-AWO;44;41;3;1;1;0;Zurich, Switzerland,Sabena,Convair CV-240
12/21/1953;;;YK-AAF;15;NULL;NULL;9;NULL;NULL;Dah-el-Kadeeb, Syria,Syrian Airways,Douglas DC-3
01/02/1954;;;;21;NULL;NULL;21;NULL;NULL;Herat, Afghanistan,Ariana Afghan Airlines,Douglas DC-3
01/05/1954;;Istanbull - Bandirma - Canakkal7;TC-BAG;10;5;5;4;2;2;Lapseki, Turkey,Devlet Hava Yollari,Douglas DC-3
01/06/1954;17:20;Bovingdon AF - Thorney Island;WJ474;17;13;4;16;12;4;Near Aldbury, England,Military -Royal Air Force,Vickers Valetta
01/10/1954;11:05;Rome - London;G-ALYP;35;29;6;35;29;6;Off Elba, Italy,British Overseas Airways,de Havilland DH106 Comet 1
01/11/1954;06:15;Medellin  - Armenia;HK-160;21;18;3;21;18;3;Manizales, Colombia,AVIANCA,Douglas DC-3
01/12/1954;13:55;Prague - Ostrava;OK-WDS;18;14;4;13;9;4;Prague, Czech Republic,Czech Airlines,Douglas C-47 Skytrain (DC-3)
01/13/1954;;Williams AFB  - Long Beach;;1;0;1;1;0;1;Signal Hill, California,Military - U.S. Air Force,F-88 Sabre Jet
01/14/1954;11:50;Beirut, Lebanon - Rome, Italy;PI-C294;16;9;7;16;9;7;Rome, Italy,Philippine Air Lines,Douglas DC-6
01/20/1954;07:08;Jackson  - Kansas City;N49551;3;0;3;3;0;3;Kansas City, Missouri,Zantop Air Transport,Douglas DC-3A
02/01/1954;13:50;Misawa - Chitose;44-78027A;35;30;5;35;30;5;Off Hokkaido, Japan,Military - U.S. Air Force,Curtiss-Wright C46D-CU
02/05/1954;;Ladd AFB - Elemndorf AFB;5895;16;0;16;10;0;10;Susitna Valley, Alaska,Military - U.S. Air Force,Douglas C-47
02/12/1954;;Military exercise;WL794;10;0;10;10;0;10;Off Gozo, Malta,Military - Royal Air Force,Avro Shackleton MR-2
02/25/1954;11:00;Test flight;VT-ATU;3;0;3;3;0;3;New Delhi, India,Indian Airlines,Douglas DC-3
02/26/1954;10:32;Salt Lake City - Cedar City - Rapid City;N8407H;9;6;3;9;6;3;Wright, Wyoming,Western Airlines,Convair CV-240
03/04/1954;14:30;Tripoli, Libya - Hahn, W Germany;42-24096A;20;18;2;20;18;2;Near St. Etienne de Tinee, France,Military - U.S. Air Force,Douglas C-47A-DL
03/13/1954;;;;NULL;NULL;NULL;NULL;NULL;NULL;Dien Bien Phu, South Vietnam,Aigle Azur,C-46
03/13/1954;14:34;Australia - London;G-ALAM;40;31;9;33;31;2;Kallang Airport, Singapore,British Overseas Airways,Lockheed 749A-79-33 Constellation
03/14/1954;04:20;Mackay - Rockhampton;VH-BBV;2;0;2;2;0;2;Off Mackay, Australia,Queensland Airlines,Douglas C-47A
03/19/1954;22:30;Oklahoma - Long Island, NY;51-7993;18;12;6;18;12;6;Near Lothian, Maryland,Military - U.S. Air Force,Fairchild C-110F
03/26/1954;;Mazatlan - Monterey;XA-GUN;18;15;3;18;15;3;Monterrey, Mexico,Aeronaves de Mexico,Douglas DC-3
04/03/1954;13:40;Adana - Istanbul;TC-ARK;25;20;5;25;20;5;Kabassaak, Turkey,Devlet Hava Yollari,Douglas DC-3
04/04/1954;;;F-BFGQ;4;0;4;4;0;4;Hanoi, Vietnam,Autrex,Douglas C-54A
04/08/1954;20:04;Rome - Cairo;G-ALYY;21;14;7;21;14;7;Off Stromboli, Italy,South African Airways, leased from British Overseas Airways,de Havilland DH106 Comet 1
04/08/1954;10:03;Montreal - Vancouver;CF-TFW/RCAF3309;36;31;5;36;31;5;Moose Jaw, SK, Canada,Trans Canada Air Lines / RCAF,Canadair C-4-1Argonaut / Harvard Mark II
04/13/1954;;;F-OALK;23;20;3;16;13;3;Xieng Kouang, Laos,Societe Indochinoise de Raviteillement,Lockheed 18 Lodestar
04/13/1954;13:10;Santiago - Iquique;956;14;9;5;14;9;5;Batuco, Chile,LAN,Douglas DC-3
04/23/1954;21:25;Mendoza - Cordoba;LV-ACX;25;21;4;25;21;4;Sierra del Vilgo, Argentina,Aerolineas Argentinas,Douglas DC-3
04/30/1954;09:18;;VT-DEM;11;8;3;5;3;2;Near Calcutta, India,Darbhanga Aviation,Douglas C-47A-30-DK
05/22/1954;09:23;Churchchrist - Paraparaumu;ZK-AQT;28;26;2;3;3;0;Paraparaumu, New Zealand,New Zealand National Airways,Douglas DC-3
05/31/1954;;Governador Valadares - Belo Horizonte;PP-ANO;19;16;3;19;16;3;Cipo Mountain, Brazil,Transportes Aereos Nacionales,Douglas DC-3
06/03/1954;;Blackbushe, UK - Beogard, Serbia;OO-CBY;4;0;4;1;0;1;Near Maribor, Slovenia,Sabena,Douglas C-47A
06/04/1954;11:00;Sao Paulo - Porto Alegre;PP-VBZ;3;0;3;3;0;3;Sao Paulo, Brazil,Varig,Curtiss C-46A
06/08/1954;;Tourane - Saigon;F-BCCL;4;2;2;4;2;2;Da Nang, Vietnam,Soc. de Tr. Aériens d'Extrême Orient,Douglas C-47-DL
06/19/1954;23:00;Geneva - London;HB-IRW;9;5;4;3;3;0;Off Folkestone, England,Swissair,Convair CV-240-4
07/02/1954;12:00;;C-28-2901;24;20;4;24;20;4;Near Salvador, Brazil,Military - Brazilian Air Force,Lockheed C-28
07/23/1954;08:45;Singapore - Hong Kong - Bangkok;VR-HEU;18;12;6;10;8;2;Off Hainan Island, China,Cathay Pacific Airways,Douglas DC-4
08/08/1954;15:40;McGrath - Colorado Creek;N91008;2;0;2;2;0;2;Near McGrath, Alaska,Alaska Airlines,Douglas DC-2
08/09/1954;02:40;Lajes, Azores - Bermuda;HK-163;30;21;9;30;21;9;Terceira Island, Azores, Portugal,AVIANCA,Lockheed 749A-79 Constellation
08/12/1954;;Saigon - Hanoi;F-BSGS;3;0;3;3;0;3;Vietnam,Autrex,Douglas DC-3
08/16/1954;;Red River delta - Saigon;F-VNAI;55;51;4;47;46;1;Near Pakse, Laos,Air Vietnam (South Vietnam),Bristol 170 Freighter 21E
08/22/1954;17:03;Memphis - Minneapolis;N61451;19;16;3;12;10;2;Near Mason City, Iowa,Braniff Airlines,Douglas DC-3
08/23/1954;11:35;Shannon - Amsterdam;PH-DFO;21;12;9;21;12;9;Off IJuuiden, North Sea,KLM Royal Dutch Airlines,Douglas DC-6B
08/26/1954;10:50;Khabarovsk - Yuzhno-Sakhalinsk;CCCP-L4679;27;22;5;26;21;5;Sakhalin Oblast, Russia,Aeroflot,Lisunov LI-2
08/27/1954;22:11;Training;51-13722;27;23;4;26;23;3;Near Rapid City, South Dekota,Military - U.S. Air Force,Convair RB-36H
09/05/1954;02:39;Amsterdam - Shannon - New York;PH-LKY;56;46;10;28;25;3;Foynes, Ireland,KLM Royal Dutch Airlines,Lockheed 1049C-55-81 S Constellation
09/12/1954;20:08;Sao Paulo - Rio de Janeiro;PP-CDJ;26;22;4;6;6;0;Off Rio de Janeiro, Brazil,Cruzeiro,Douglas DC-3
09/15/1954;;Test;SU-AFO;4;0;4;3;0;3;Cairo, Egypt,Misrair,Vickers 634 Viking
09/27/1954;00:57;Krasnoyarsk - Novosibirsk;CCCP-L1365;29;24;5;29;24;5; Novosibirsk, Russia,Aeroflot,Ilyushin IL-12
10/24/1954;17:50;Rome - Lyons;43-16044;21;18;3;21;18;3;Near Nice, Italy,Military - U.S. Air Force,Douglas C-47A-DL
10/28/1954;00:10;Krasnoyarsk - Irkutsk; CCCP-L1789;16;13;3;16;13;3; Krasnoyarsk Territory, Russia,Aeroflot,Ilyushin IL -12
10/30/1954;01:00;Patuxent River NAS - Kenitra, Morocco;128441;42;21;21;42;21;21;Off Ocean City, Maryland,Military - U.S. Navy,Lockheed R7V-1
10/31/1954;15:10;Training;VH-TVA;8;0;8;3;0;3;Mangalore, Australia,TAA,Vickers 720 Viscount
11/16/1954;;Pucallpa - Lima;FAP-403;24;21;3;24;21;3;Jirishanga,Cerro de Pasco, Peru,TAM (Brazil),Douglas DC-3
11/30/1954;11:15;Boston - Concord - Laconia - Berlin, NH;N17891;7;3;4;2;0;2;Berlin, New Hampshire,Northeast Airlines,Douglas DC-3
12/04/1954;;Luang Prabang - Nam Tha;F-BEIA;29;25;4;29;25;4;Near Luang Pragang, Laos,Air Laos,Douglas DC-3
12/12/1954;23:04;Prague - Brno - Bratislava;OK-WDK;4;0;4;4;0;4;Bratislava, Slovakia,Ceskoslovenské Aerolinie,Douglas C-47A
12/18/1954;14:00;Rome - New York City;I-LINE;32;22;10;26;16;10;New York, New York,Linee Aeree Italiane,Douglas DC-6B
12/18/1954;;Bolivar - Tumeremo;YV-C-AMP;2;0;2;2;0;2;Near Bolivar, Venezuela,Linea Aeropostal Venezolana,Douglas C-47A
12/22/1954;23:00;Newark - Pittsburgh - Colorado Springs;N24320;28;23;5;10;9;1;Pittsburgh, Pennsylvania,Johnson Flying Service,Douglas DC-3
12/25/1954;;London - Prestwick - Shannon - Gander - New York;G-ALSA;36;25;11;28;24;4;Prestwick, Ayrshire, Scotland,British Overseas Airways,Boeing B377-10-28 Stratocruiser
12/31/1954;;Beijing- Irkutsk - Tashkent - Nicosia;;17;14;3;17;14;3;Irkutsk, Russia,Aeroflot,Ilyushin II-14
01/01/1955;;Anchorage - Nome;;12;NULL;NULL;12;NULL;NULL;Near Anchorage, Alaska,Military - US Air Force,Douglas C47
01/11/1955;21:00;;WG531 / Wl743;18;NULL;NULL;18;NULL;NULL;Off Skellings, Ireland,Military -Royal Air Force,Avro Shackleton M-2 / Avro Shakleton M-2
01/12/1955;09:05;Cincinnati - Cleveland;N93211/N999B;15;10;5;15;10;5;Greater Cincinnati Airport, Covington, Kentucky,Trans World Airlines / Castleton Inc.,Martin 202A / DC-3
01/15/1955;00:05;Windsor - Toronto;CF-GEU;5;3;2;1;1;0;London, Ontario, Canada,Ontario Hydro,Grumman G-73 Mallard
01/19/1955;16:25;Newark - Des Moines - Lincoln;N73154;39;36;3;0;0;0;Des Moines, Iowa,United Air Lines,Convair CV-340
01/31/1955;;Bogota - Villavicencio - Mitu - La Pedrera;HK-1000E;5;4;1;5;4;1;Lapadrera, Colombia,Interamericana de Aviacion,Consolidated PBY-5 Catalina
02/02/1955;03:50;Nagpur - Delhi;VT-CVB;10;6;4;10;6;4;Nagpur, India,Indian Airlines,Douglas DC-3
02/05/1955;10:04;Enugu - Calabar;VR-NAD;13;9;4;13;9;4;Near Calabar, Nigeria,West African Airways,Bristol 170 Freighter 21E
02/13/1955;19:53;Brussels - Rome;OO-SDB;29;21;8;29;21;8;Abruzzio Mountains, Italy,Sabena,Douglas DC-6
02/19/1955;07:31;Albuquerque - Sante Fe;N40416;16;13;3;16;13;3;Albuquerque, New Mexico,Trans World Airlines,Martin 404
02/23/1955;09:20;Salisbury - Lusaka;VP-YKO;26;21;5;1;0;1;Salisbury,  Zimbabwe,Central African Airways,Douglas DC-3
02/26/1955;15:50;; LQ-XWW;7;4;3;6;4;2;Formosa, Argentina,de Havilland Dove,de Havilland DH.104 Dove
03/06/1955;;;PP-YPZ;21;18;3;5;4;1;Vitoria da Conquista, Brazil,REAL,Douglas DC-3
03/07/1955;;Tampico - Mexico City;XB-ZEH;6;4;2;6;4;2;Near Cuidad de Valles, Mexic,Private, Lockheed 18 LodeStar
03/08/1955;13:40;Puerto Vallarta - Talpa de Allende - Mascota - Guadalajara;XA-DIK;26;23;3;26;23;3;Mascota, Mexico,Mexicana,Douglas DC-3
03/09/1955;15:15;Condoto - Cali;HK-328;8;5;3;8;5;3;Trujillo, Colombia,AVIANCA,Douglas C-47A
03/20/1955;22:36;Newark - Chicago - St. Louis - Springfield - Tulsa;N94234;35;32;3;13;11;2;Springfield, Missouri,American Airlines,Convair CV-240-0
03/22/1955;02:03;Tokyo - Hickam - Travis;131612;66;57;9;66;57;9;Oahu, Hawaii,Military - U.S. Navy,Douglas R6D-1 (C-118B)
03/26/1955;11:12;Portland - Honolulu;N1032V;23;15;8;4;2;2;Off the Oregon coast,Pan American World Airways,Boeing 377 Stratocruiser 10-26
04/02/1955;;Mobile, AL - Macon, GA;N51424;2;0;2;2;0;2;Off Pensacola, Florida,Aaxico Airlines,Curtiss C-46A
04/04/1955;15:55;Training;N37512;3;0;3;3;0;3;Islip, New York,United Air Lines,Douglas DC-6
04/11/1955;17:30;Hong Kong - Jakarta;VT-DEP;19;11;8;19;11;8;Off Great Natuna Island, Sarawak,Air India,Lockheed 749A Constellation
04/18/1955;;Yaounde - Douala;F-BGOI;14;10;4;12;9;3;Kupe Mountains, Cameroons,Union des Transportes Aeriens,de Havilland DH-114 Heron 1B
05/18/1955;11:56;Dar-es-Salaam - Nairobi;VP-KKH;20;16;4;20;16;4;Mt. Kilimanjaro, Kenya,East African Airways,Douglas DC-3
